Size,Orien,Match,Probe,Target,correct_response,Task
L,V,Y,The boat was sinking into the sea.,STI_EXP02/LARGE/boat_V.jpg,j,V
L,V,Y,The desk was standing upright in the garage.,STI_EXP02/LARGE/desk_V.jpg,j,V
L,V,Y,The mattress was lifted against the wall.,STI_EXP02/LARGE/mattress_V.jpg,j,V
L,V,Y,The cabinet was placed in the office.,STI_EXP02/LARGE/filingcabinet_V.jpg,j,V
L,V,Y,The sofa was moved on the stroller.,STI_EXP02/LARGE/sofa_V.jpg,j,V
L,V,Y,The trap door was opened to enter the basement.,STI_EXP02/LARGE/trapdoor_V.jpg,j,V
L,V,Y,The canoe was dropping from the top of the water fall.,STI_EXP02/LARGE/canoe_V.jpg,j,V
L,V,Y,The anchor was being lowered.,STI_EXP02/LARGE/anchor_V.jpg,j,V
L,V,N,The jeep was driving down the road.,STI_EXP02/LARGE/jeep_V.jpg,j,V
L,V,N,The drawbridge was lowered across the moat.,STI_EXP02/LARGE/Drawbridge_V.jpg,j,V
L,V,N,The bus was driving down the road.,STI_EXP02/LARGE/bus_V.jpg,j,V
L,V,N,The window frame was set in the ceiling.,STI_EXP02/LARGE/windowframe_V.jpg,j,V
L,V,N,The ladder was carried by the fireman.,STI_EXP02/LARGE/ladder_V.jpg,j,V
L,V,N,The statue of liberty replica was being moved to the park.,STI_EXP02/LARGE/liberty_V.jpg,j,V
L,V,N,The space shuttle was transported to the museum.,STI_EXP02/LARGE/spaceshuttle_V.jpg,j,V
L,V,N,The crane arm was down when the crane truck stopped.,STI_EXP02/LARGE/crane_V.jpg,j,V
L,H,Y,The Titanic was navigated to its destination.,STI_EXP02/LARGE/Titanic_H.jpg,j,V
L,H,Y,The wine barrel was rolled over the floor.,STI_EXP02/LARGE/barrel_H.JPG,j,V
L,H,Y,The parachute was opened behind the jet plane.,STI_EXP02/LARGE/Parachute_H.jpg,j,V
L,H,Y,The missile was flying over the sea.,STI_EXP02/LARGE/missle_H.jpg,j,V
L,H,Y,The jet fighter was flying under the clouds.,STI_EXP02/LARGE/jetfighter_H.jpg,j,V
L,H,Y,The vending machine laid in the truck.,STI_EXP02/LARGE/vending_H.jpg,j,V
