Size,Orien,Match,Probe,Target,correct_response
L,H,Y,The boat was sailing on the sea.,STI_EXP02/LARGE/boat_H.jpg,j
L,H,Y,The desk was placed in front of the window.,STI_EXP02/LARGE/desk_H.jpg,j
L,H,Y,The mattress was put on the bed.,STI_EXP02/LARGE/mattress_H.jpg,j
L,H,Y,The cabinet was moved out of the office by two men.,STI_EXP02/LARGE/filingcabinet_H.jpg,j
L,H,Y,The sofa was installed in the living room.,STI_EXP02/LARGE/sofa_H.jpg,j
L,H,Y,The trap door was closed to safely move the boxes.,STI_EXP02/LARGE/trapdoor_H.jpg,j
L,H,Y,The canoe was gliding across the river.,STI_EXP02/LARGE/canoe_H.jpg,j
L,H,Y,The anchor was on the bottom of the sea.,STI_EXP02/LARGE/anchor_H.jpg,j
L,H,N,The jeep was falling into the abyss.,STI_EXP02/LARGE/jeep_H.jpg,j
L,H,N,The drawbridge blocked the gate.,STI_EXP02/LARGE/Drawbridge_H.jpg,j
L,H,N,The bus was falling into the ravine.,STI_EXP02/LARGE/bus_H.jpg,j
L,H,N,The window frame was set on the door.,STI_EXP02/LARGE/windowframe_H.jpg,j
L,H,N,The ladder was lifted when the fireman climbed to the roof.,STI_EXP02/LARGE/ladder_H.jpg,j
L,H,N,The statue of liberty replica stood in the park.,STI_EXP02/LARGE/liberty_H.jpg,j
L,H,N,The space shuttle was ready to be launched.,STI_EXP02/LARGE/spaceshuttle_H.jpg,j
L,H,N,The crane arm was up when the workers moved the cargo.,STI_EXP02/LARGE/crane_H.jpg,j
L,V,Y,The Titanic was sinking to the bottom.,STI_EXP02/LARGE/Titanic_V.jpg,j
L,V,Y,The wine barrel stood in the wine bar.,STI_EXP02/LARGE/barrel_V.jpg,j
L,V,Y,The parachute was opened by the parachutist.,STI_EXP02/LARGE/parachute_V.jpg,j
L,V,Y,The missle was launched from the submarine.,STI_EXP02/LARGE/missle_V.jpg,j
L,V,Y,The jet fighter climbed through the clouds.,STI_EXP02/LARGE/jetfighter_V.jpg,j
L,V,Y,The vending machine stood in the street corner.,STI_EXP02/LARGE/vending_V.jpg,j
L,V,Y,The big refrigerator was put in the kitchen.,STI_EXP02/LARGE/refrigerator_V.jpg,j
L,V,Y,The gate arms were lifted after the car was investigated.,STI_EXP02/LARGE/gate_arms_V.jpg,j
L,V,N,The airplane was flying above the clouds.,STI_EXP02/LARGE/aeroplane_V.jpg,j
L,V,N,The upright piano was laid in the truck.,STI_EXP02/LARGE/Uprightpiano_V.jpg,j
L,V,N,The rocket was transferred to the launch pad.,STI_EXP02/LARGE/rocket_V.jpg,j
L,V,N,The wrecking ball gained maximal altitude.,STI_EXP02/LARGE/wreckingball_V.jpg,j
L,V,N,The street lantern was being transported.,STI_EXP02/LARGE/streetlantern_V.jpg,j
L,V,N,The steel barrel was rolled onto the truck.,STI_EXP02/LARGE/steelbarrel_V.jpg,j
L,V,N,The pig carcass was on the table.,STI_EXP02/LARGE/pig_V.jpg,j
L,V,N,The dump truck carried the sand.,STI_EXP02/LARGE/dump-truck_H.jpg,j
S,H,Y,The matchstick was put in the box.,STI_EXP02/SMALL/007-allumette_match.jpg,j
S,H,Y,The cane was lying near the park bench.,STI_EXP02/SMALL/066-canne_cane.jpg,j
S,H,Y,The tube was on the work table.,STI_EXP02/SMALL/126-eprouvette_test-tube.jpg,j
S,H,Y,The flower pot laid down in front of the door.,STI_EXP02/SMALL/242-pot_jar.jpg,j
S,H,Y,The bowling pin was knocked over at the end of the lane.,STI_EXP02/SMALL/248-quille_skittle.jpg,j
S,H,Y,The key chain was on the living room table.,STI_EXP02/SMALL/keychain.jpg,j
S,H,Y,The tree branch was dropped from the tree.,STI_EXP02/SMALL/branch02.jpg,j
S,H,Y,The candy cane was in the candy box.,STI_EXP02/SMALL/candycane01a.jpg,j
S,H,N,The carrot was just plucked by the farmer.,STI_EXP02/SMALL/carrot01.jpg,j
S,H,N,The leek was to be washed.,STI_EXP02/SMALL/leek.jpg,j
S,H,N,The daisy was plucked by the tourist.,STI_EXP02/SMALL/daisy.jpg,j
S,H,N,The dust pan was hanged on the wall.,STI_EXP02/SMALL/dustpan.jpg,j
S,H,N,The fishing rod was beside the angler's seat.,STI_EXP02/SMALL/fishingrod.jpg,j
S,H,N,The spoon was placed in the right of the plate.,STI_EXP02/SMALL/spoon_H.jpg,j
S,H,N,The funnel was being used by the chef.,STI_EXP02/SMALL/funnel.jpg,j
S,H,N,The ointment was used on the patient’s eye.,STI_EXP02/SMALL/gluetube.jpg,j
S,V,Y,The hat was hanged on the wall.,STI_EXP02/SMALL/hat_r.jpg,j
S,V,Y,The toothbrush was in the cup.,STI_EXP02/SMALL/toothbrush_V.jpg,j
S,V,Y,The bottle was on the shelf.,STI_EXP02/SMALL/beerbottle_r.jpg,j
S,V,Y,The key chain was on the wall.,STI_EXP02/SMALL/keychain_r.jpg,j
S,V,Y,The corn was just plucked by the farmer.,STI_EXP02/SMALL/cornhusk_r.jpg,j
S,V,Y,The ice scream scoop was in the water bin.,STI_EXP02/SMALL/measuringspoon_r.jpg,j
S,V,Y,The glove was on the rack.,STI_EXP02/SMALL/glove_V.jpg,j
S,V,Y,The nail was nailed onto the wood.,STI_EXP02/SMALL/nail_r.jpg,j
S,V,N,The photo frame was in the drawer.,STI_EXP02/SMALL/pictureframe04_r.jpg,j
S,V,N,The razor was on the washstand.,STI_EXP02/SMALL/razor01_r.jpg,j
S,V,N,The screwdriver was on the work bench.,STI_EXP02/SMALL/screwdriver04b_r.jpg,j
S,V,N,The sea shell was found on the beach.,STI_EXP02/SMALL/seashell01_r.jpg,j
S,V,N,The shoe was left by the front door.,STI_EXP02/SMALL/shoe_r.jpg,j
S,V,N,The stapler was on the staff's desk.,STI_EXP02/SMALL/stapler03a_r.jpg,j
S,V,N,The buffet tongs were in the drawer.,STI_EXP02/SMALL/tongs01b_r.jpg,j
S,V,N,The plastic bottle lied in the refrigerator.,STI_EXP02/SMALL/waterbottle01b_r.jpg,j
F,F,F,The cloth was in the wardrobe.,STI_EXP02/Filler/020-baignoire_bathtub.jpg,f
F,F,F,The giant refinery was beside the road.,STI_EXP02/Filler/ironbarrel.jpg,f
F,F,F,The film was in the camera.,STI_EXP02/Filler/025-barre_bar.jpg,f
F,F,F,The capsule was on the table.,STI_EXP02/Filler/027-batterie_drum-set.jpg,f
F,F,F,The sew was in the toolbox.,STI_EXP02/Filler/034-biberon_feeding-bottle.jpg,f
F,F,F,The hamburger was in the plate.,STI_EXP02/Filler/035-bibliotheque_book-shelves.jpg,f
F,F,F,The candle stood on the dinner table.,STI_EXP02/Filler/041-bonbon_candy.jpg,f
F,F,F,The cassette was in the recorder.,STI_EXP02/Filler/071-bateau_boat.jpg,f
F,F,F,The apple was on the table.,STI_EXP02/Filler/075-carte_playing-card.jpg,f
F,F,F,The earring was beside the box.,STI_EXP02/Filler/078-cassette_cassette.jpg,f
F,F,F,The rice was in the farm.,STI_EXP02/Filler/089-chronometre_stop-watch.jpg,f
F,F,F,The lifebuoy was on the deck.,STI_EXP02/Filler/093-chapiteau_big-top.jpg,f
F,F,F,The train was driving down the track.,STI_EXP02/Filler/156-hot-dog_hot-dog.jpg,f
F,F,F,The battleship was navigating in the sea.,STI_EXP02/Filler/166-klaxon_horn.jpg,f
F,F,F,The bed was in the room.,STI_EXP02/Filler/240-pont_bridge.jpg,f
F,F,F,The airplane was driving through the runway.,STI_EXP02/Filler/260-sapin_fir-tree.jpg,f
F,F,F,The police car was driving down the road.,STI_EXP02/Filler/282-tractopelle_digger.jpg,f
F,F,F,The raft was moving to the pier.,STI_EXP02/Filler/293-usine_factory.jpg,f
F,F,F,The cow was living in the farm.,STI_EXP02/Filler/294-ventilateur_fan.jpg,f
F,F,F,The church was beside the square.,STI_EXP02/Filler/airhockeytable.jpg,f
F,F,F,The cabin was in the forest.,STI_EXP02/Filler/barn.jpg,f
F,F,F,The warship was sailing to the harbor.,STI_EXP02/Filler/boxtrailer.jpg,f
F,F,F,The electric locomotive was driving through the tunnel.,STI_EXP02/Filler/briefcaseclosed.jpg,f
F,F,F,The coop was in the garden.,STI_EXP02/Filler/candle08b.jpg,f
F,F,F,The tent was on the ground.,STI_EXP02/Filler/castle.jpg,f
F,F,F,The SUV was running on the road.,STI_EXP02/Filler/castletower.jpg,f
F,F,F,The ambulance was running on the road.,STI_EXP02/Filler/chair.jpg,f
F,F,F,The dryer was in the bathroom.,STI_EXP02/Filler/church.jpg,f
F,F,F,The truck was in the factory,STI_EXP02/Filler/cooler01.jpg,f
F,F,F,The hangar was beside the air plane.,STI_EXP02/Filler/cow.jpg,f
