"","ID","List","count_Trial","Size","Orien","Match","Probe","Target","correct_response","response_time_Probe_response","response_time_Target_response","correct"
"1","C_F_21-02","C_List02.csv",0,"L","V","Y","重型吊臂升起準備移動貨物","STI_EXP02/LARGE/crane_V.jpg","j",8154,983,1
"2","C_F_21-02","C_List02.csv",1,"L","V","N","那台自動販賣機躺在貨車中","STI_EXP02/LARGE/vending_V.jpg","j",1885,1160,0
"3","C_F_21-02","C_List02.csv",2,"S","V","N","那棵生玉米被丟在廚房角落","STI_EXP02/SMALL/cornhusk_r.jpg","j",1794,1014,0
"4","C_F_21-02","C_List02.csv",3,"F","F","F","蠟燭立在餐桌上","STI_EXP02/Filler/041-bonbon_candy.jpg","f",1111,977,1
"5","C_F_21-02","C_List02.csv",4,"L","H","N","船錨正被放下","STI_EXP02/LARGE/anchor_H.jpg","j",993,1667,1
"6","C_F_21-02","C_List02.csv",5,"F","F","F","床舖就放在房間裡","STI_EXP02/Filler/240-pont_bridge.jpg","f",2400,945,1
"7","C_F_21-02","C_List02.csv",6,"S","V","N","有支牙刷放在洗手台","STI_EXP02/SMALL/toothbrush_V.jpg","j",1226,1204,0
"8","C_F_21-02","C_List02.csv",7,"F","F","F","碼錶就在教練手中","STI_EXP02/Filler/wheel01.jpg","f",1637,854,1
"9","C_F_21-02","C_List02.csv",8,"S","V","Y","漏斗就在廚師的手裡","STI_EXP02/SMALL/funnel_r.jpg","j",1361,1091,1
"10","C_F_21-02","C_List02.csv",9,"L","V","Y","那台吉普車掉到裂縫裡","STI_EXP02/LARGE/jeep_V.jpg","j",1042,1165,1
"11","C_F_21-02","C_List02.csv",10,"L","H","N","那艘遊艇已沉入海中","STI_EXP02/LARGE/boat_H.jpg","j",1054,1276,0
"12","C_F_21-02","C_List02.csv",11,"F","F","F","電話設置在茶几上","STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg","f",467,1120,1
"13","C_F_21-02","C_List02.csv",12,"F","F","F","那隻牛生活在農場裡","STI_EXP02/Filler/294-ventilateur_fan.jpg","f",1733,858,1
"14","C_F_21-02","C_List02.csv",13,"F","F","F","氣球在小孩子的手裡","STI_EXP02/Filler/pill.jpg","f",773,625,1
"15","C_F_21-02","C_List02.csv",14,"F","F","F","那台雲梯車行駛在馬路上","STI_EXP02/Filler/chair.jpg","f",685,737,1
"16","C_F_21-02","C_List02.csv",15,"F","F","F","那台警車行駛在馬路上","STI_EXP02/Filler/282-tractopelle_digger.jpg","f",713,692,1
"17","C_F_21-02","C_List02.csv",16,"F","F","F","木筏正向碼頭移動","STI_EXP02/Filler/293-usine_factory.jpg","f",313,769,1
"18","C_F_21-02","C_List02.csv",17,"L","H","N","公文櫃就放在辦公室裡","STI_EXP02/LARGE/filingcabinet_H.jpg","j",602,583,1
"19","C_F_21-02","C_List02.csv",18,"F","F","F","鬧鐘被放在床上","STI_EXP02/Filler/flower.jpg","f",380,559,1
"20","C_F_21-02","C_List02.csv",19,"L","H","Y","這隻豬的屠體被放在桌上","STI_EXP02/LARGE/pig_H.jpg","j",351,736,1
"21","C_F_21-02","C_List02.csv",20,"F","F","F","錘子放在工作桌上","STI_EXP02/Filler/uprightpiano01.jpg","f",399,656,1
"22","C_F_21-02","C_List02.csv",21,"F","F","F","有顆牙齒在鐵盤之中","STI_EXP02/Filler/lighthouse.jpg","f",396,1615,1
"23","C_F_21-02","C_List02.csv",22,"L","H","Y","砂石車車斗載滿砂石","STI_EXP02/LARGE/wreckingball_H.jpg","j",1071,585,0
"24","C_F_21-02","C_List02.csv",23,"F","F","F","有隻蝦子在水族箱中","STI_EXP02/Filler/laptopopen.jpg","f",623,645,1
"25","C_F_21-02","C_List02.csv",24,"F","F","F","那台休旅車在馬路上行駛","STI_EXP02/Filler/castletower.jpg","f",683,542,1
"26","C_F_21-02","C_List02.csv",25,"S","H","Y","保特瓶被丟棄在地上","STI_EXP02/SMALL/waterbottle01b.jpg","j",323,549,1
"27","C_F_21-02","C_List02.csv",26,"S","V","Y","那根大葱正要被沖洗","STI_EXP02/SMALL/leek_r.jpg","j",534,543,1
"28","C_F_21-02","C_List02.csv",27,"F","F","F","戰艦航行在大海","STI_EXP02/Filler/166-klaxon_horn.jpg","f",571,777,1
"29","C_F_21-02","C_List02.csv",28,"F","F","F","那台計算器放在桌子上","STI_EXP02/Filler/ferry.jpg","f",584,773,0
"30","C_F_21-02","C_List02.csv",29,"F","F","F","電風扇裝在天花板","STI_EXP02/Filler/scrubbingbrush05b.jpg","f",387,969,1
"31","C_F_21-02","C_List02.csv",30,"F","F","F","教堂在廣場旁邊","STI_EXP02/Filler/airhockeytable.jpg","f",1354,739,1
"32","C_F_21-02","C_List02.csv",31,"S","H","N","那支拐杖正握在老人手中","STI_EXP02/SMALL/066-canne_cane.jpg","j",638,970,1
"33","C_F_21-02","C_List02.csv",32,"S","H","N","試管就放在試管架","STI_EXP02/SMALL/126-eprouvette_test-tube.jpg","j",576,551,1
"34","C_F_21-02","C_List02.csv",33,"F","F","F","那顆膠囊放在桌子上","STI_EXP02/Filler/027-batterie_drum-set.jpg","f",2244,745,1
"35","C_F_21-02","C_List02.csv",34,"F","F","F","衣服就放在衣櫥裡","STI_EXP02/Filler/020-baignoire_bathtub.jpg","f",715,733,1
"36","C_F_21-02","C_List02.csv",35,"F","F","F","貨輪航行到港口","STI_EXP02/Filler/dryingmachine02.jpg","f",501,736,1
"37","C_F_21-02","C_List02.csv",36,"L","H","Y","火箭正被輸送到發射台","STI_EXP02/LARGE/rocket_H.jpg","j",674,1165,1
"38","C_F_21-02","C_List02.csv",37,"L","V","N","酒桶被放置在酒窖中","STI_EXP02/LARGE/barrel_V.jpg","j",434,658,0
"39","C_F_21-02","C_List02.csv",38,"F","F","F","那間狗屋蓋在大門旁","STI_EXP02/Filler/strap.jpg","f",1218,698,1
"40","C_F_21-02","C_List02.csv",39,"F","F","F","魔術方塊就在架子上","STI_EXP02/Filler/microwave.jpg","f",669,815,1
"41","C_F_21-02","C_List02.csv",40,"S","V","N","玻璃瓶被倒放在酒櫃裡","STI_EXP02/SMALL/beerbottle_r.jpg","j",763,1460,0
"42","C_F_21-02","C_List02.csv",41,"S","H","Y","這貝殼就躺在海邊","STI_EXP02/SMALL/seashell01.jpg","j",659,832,1
"43","C_F_21-02","C_List02.csv",42,"F","F","F","籃球架就設置在球場邊","STI_EXP02/Filler/rubikcube.jpg","f",840,704,1
"44","C_F_21-02","C_List02.csv",43,"L","V","N","那台大冰箱躺在貨運卡車裡","STI_EXP02/LARGE/refrigerator_V.jpg","j",654,622,1
"45","C_F_21-02","C_List02.csv",44,"F","F","F","那艘軍艦正駛向港口","STI_EXP02/Filler/boxtrailer.jpg","f",425,781,1
"46","C_F_21-02","C_List02.csv",45,"L","V","Y","公車墜落在懸崖上","STI_EXP02/LARGE/bus_V.jpg","j",549,1003,1
