"Size","Orien","Match","Probe","Target","correct_response"
"L","V","Y","The ivory stood on the table.","STI_EXP02/LARGE/Ivory_V.jpg","/"
"L","V","Y","The dolphin is juming out of the water.","STI_EXP02/LARGE/dolphin_V.png","/"
"L","V","Y","The flaps of this plane were opened while landing.","STI_EXP02/LARGE/flap_V.jpg","/"
"L","V","Y","The cannon shut the defence on the castle wall.","STI_EXP02/LARGE/Cannon_V.jpg","/"
"L","V","Y","The crane arm was being lifted from the truck.","STI_EXP02/LARGE/crane_V.jpg","/"
"L","V","Y","The killer wale is diving to the bottom of the sea.","STI_EXP02/LARGE/Killer-Whale_V.jpg","/"
"L","V","Y","The canoe is dropping from the top of the water fall.","STI_EXP02/LARGE/canoe_V.jpg","/"
"L","V","Y","The anchor was being lower.","STI_EXP02/LARGE/anchor_V.jpg","/"
"L","V","N","The coffin stands on the ground.","STI_EXP02/LARGE/coffin_V.jpg","/"
"L","V","N","The drawbridge is cross the moat. ","STI_EXP02/LARGE/Drawbridge_V.jpg","/"
"L","V","N","The US flag is waving on the top of the flagpole.","STI_EXP02/LARGE/US_flag_V.jpg","/"
"L","V","N","The pillar is torn down in the Greek temple.","STI_EXP02/LARGE/column_V.jpg","/"
"L","V","N","The smoke is released from the chimney when it is windy.","STI_EXP02/LARGE/smoke_V.jpg","/"
"L","V","N","The stream is released from the fire engine.","STI_EXP02/LARGE/stream_V.jpg","/"
"L","V","N","The carp was swimming under the water","STI_EXP02/LARGE/Carp_V.jpg","/"
"L","V","N","The cabinet is transported by the truck.","STI_EXP02/LARGE/filingcabinet_V.jpg","/"
"L","H","Y","The luggage case was on the conveyor belt.","STI_EXP02/LARGE/luggagecase_H.jpg","/"
"L","H","Y","The beer barrel lied on the ground.","STI_EXP02/LARGE/barrel_H.JPG","/"
"L","H","Y","The parachute was opened by the jet plane.","STI_EXP02/LARGE/Parachute_H.jpg","/"
"L","H","Y","The cruise missle is searching the target.","STI_EXP02/LARGE/missle_H.jpg","/"
"L","H","Y","The roller coaster stops at the top.","STI_EXP02/LARGE/rollercoaster_H.jpg","/"
"L","H","Y","The flagpole was hanged on the wall.","STI_EXP02/LARGE/flagpole_H.jpg","/"
"L","H","Y","The Moai falls on the ground.","STI_EXP02/LARGE/Moai_H.jpg","/"
"L","H","Y","The electric fan was set up on the wall.","STI_EXP02/LARGE/Fan_H.JPG","/"
"L","H","N","The monkey climbed the tree.","STI_EXP02/LARGE/monkey_H","/"
"L","H","N","The gate arms were up when the car passed by.","STI_EXP02/LARGE/gate_arms_H.jpg","/"
"L","H","N","The rocket is launched to the space.","STI_EXP02/LARGE/rocket_H.jpg","/"
"L","H","N","The dump on the truck was dumping the sands.","STI_EXP02/LARGE/dump_truck_V.JPG","/"
"L","H","N","The cello was played by the cellist.","STI_EXP02/LARGE/cello_H.jpg","/"
"L","H","N","The snake slithered up the tree.","STI_EXP02/LARGE/snake_H.jpg","/"
"L","H","N","The pig carcass was hanged up.","STI_EXP02/LARGE/pig_H.jpg","/"
"L","H","N","The specimen of crocodile was on the wall.","STI_EXP02/LARGE/crocodile_H.jpg","/"
"S","V","Y","The match is grabbed by my fingers.","STI_EXP02/SMALL/007-allumette_match_r.jpg","/"
"S","V","Y","The cane is hold by the elder.","STI_EXP02/SMALL/066-canne_cane_r.jpg","/"
"S","V","Y","The tube is in the rack.","STI_EXP02/SMALL/126-eprouvette_test-tube_r.jpg","/"
"S","V","Y","The flower pot is in front of the door.","STI_EXP02/SMALL/242-pot_jar_r.jpg","/"
"S","V","Y","The bowling pin stands on the end of the runway.","STI_EXP02/SMALL/248-quille_skittle_r.jpg","/"
"S","V","Y","The bottle is in the shelf.","STI_EXP02/SMALL/beerbottle_r.jpg","/"
"S","V","Y","The stick is plugged into the soil.","STI_EXP02/SMALL/branch02_r.jpg","/"
"S","V","Y","The candy stick is on the Christmas tree.","STI_EXP02/SMALL/candycane01a_r.jpg","/"
"S","V","N","The carrot is on the shelf in the supermarket.","STI_EXP02/SMALL/carrot01_r.jpg","/"
"S","V","N","The corn is dropped on the ground.","STI_EXP02/SMALL/cornhusk_r.jpg","/"
"S","V","N","The daisy is droped on the ground.","STI_EXP02/SMALL/daisy_r.jpg","/"
