"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Probe","Target","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"D","f","18","007","D_List04.csv",0,"F","F","F","De zaag lag in de gereedschapskist.","STI/Filler/034-biberon_feeding-bottle.jpg",3041,817,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",1,"L","H","Y","Het raamkozijn werd in het plafond geplaatst.","STI/LARGE/windowframe_H.jpg",3613,898,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",2,"F","F","F","De locomotief reed door de tunnel.","STI/Filler/desk02.jpg",1608,935,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",3,"L","H","Y","De space shuttle werd naar het museum vervoerd.","STI/LARGE/spaceshuttle_H.jpg",2576,1128,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",4,"L","V","N","De kano gleed over de rivier.","STI/LARGE/canoe_V.jpg",2241,1279,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",5,"F","F","F","De droger was in de badkamer.","STI/Filler/260-sapin_fir-tree.jpg",3230,939,1,0,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",6,"F","F","F","De rekenmachine lag op het bureau.","STI/Filler/strap.jpg",4466,961,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",7,"S","H","Y","Het madeliefje was op de vloer van de bloemenwinkel gevallen.","STI/SMALL/daisy.jpg",2993,743,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",8,"F","F","F","De loods stond naast het vliegtuig.","STI/Filler/church.jpg",3508,1202,0,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",9,"S","V","N","De bloempot lag voor de deur.","STI/SMALL/242-pot_jar_r.jpg",2627,1089,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",10,"F","F","F","De grote raffinaderij lag naast de weg.","STI/Filler/castletower.jpg",4818,1192,0,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",11,"F","F","F","De hamburger lag op het bord.","STI/Filler/earring01.jpg",3086,1216,1,0,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",12,"L","H","Y","De kraanarm was omlaag toen de kraanwagen stopte.","STI/LARGE/crane_H.jpg",4658,1507,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",13,"F","F","F","De ring lag in de ijzeren schotel.","STI/Filler/156-hot-dog_hot-dog.jpg",5064,1552,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",14,"L","V","N","Het valluik was gesloten om de dozen veilig te verhuizen.","STI/LARGE/trapdoor_V.jpg",8543,1815,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",15,"L","V","N","Het bureau was voor het raam geplaatst.","STI/LARGE/desk_V.jpg",4289,1236,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",16,"F","F","F","De speelgoeddinosaurus stond op de tafel.","STI/Filler/usbkey.jpg",3062,822,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",17,"L","V","Y","Het vliegtuig daalde door de wolken.","STI/LARGE/aeroplane_V.jpg",1320,544,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",18,"L","V","Y","De straatlantaarn stond langs de weg.","STI/LARGE/streetlantern_V.jpg",3189,777,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",19,"S","V","N","De boomtak viel van de boom.","STI/SMALL/branch02_r.jpg",2955,776,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",20,"F","F","F","De hondenhuis stond naast de deur.","STI/Filler/ironbarrel.jpg",1471,777,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",21,"L","V","Y","De vrachtwagen loste het zand.","STI/LARGE/dump-truck_V.jpg",2515,655,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",22,"F","F","F","De tafeltennistafel was in de kamer.","STI/Filler/020-baignoire_bathtub.jpg",2741,1086,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",23,"F","F","F","Het Zwitserse zakmes lag op de tafel.","STI/Filler/filmroll.jpg",2657,1008,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",24,"S","H","N","De spijker werd in de vloer genageld.","STI/SMALL/nail.jpg",2417,656,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",25,"F","F","F","De map stond op de plank.","STI/Filler/pillow.jpg",2478,783,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",26,"L","H","N","De straaljager vloog omhoog door de wolken.","STI/LARGE/jetfighter_H.jpg",1841,702,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",27,"L","H","Y","De ladder werd gedragen door de brandweerman.","STI/LARGE/ladder_H.jpg",2167,772,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",28,"F","F","F","De kerk stond op het plein.","STI/Filler/093-chapiteau_big-top.jpg",1593,897,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",29,"L","V","N","Het anker lag op de bodem van de zee.","STI/LARGE/anchor_V.jpg",4336,581,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",30,"F","F","F","Het dartboard hing aan de muur.","STI/Filler/mirror.jpg",1770,708,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",31,"F","F","F","De tafellamp was in de winkel.","STI/Filler/dentalfloss03b.jpg",3029,746,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",32,"L","V","N","De boot zeilde op zee.","STI/LARGE/boat_V.jpg",3031,846,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",33,"S","H","N","De graanschil was net geplukt door de boer.","STI/SMALL/cornhusk.jpg",2446,1053,0,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",34,"F","F","F"," De bal lag op de biljarttafel.","STI/Filler/faucet.jpg",1976,819,1,0,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",35,"F","F","F","De film zat in de camera.","STI/Filler/candle08b.jpg",1494,783,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",36,"F","F","F","De stopwatch was in de handen van de coach.","STI/Filler/wheel01.jpg",1489,720,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",37,"S","H","N","De tandenborstel stond in de beker.","STI/SMALL/toothbrush_H.jpg",954,566,1,NA,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",38,"L","H","N","De slagbomen werden opgeheven nadat de auto onderzocht was.","STI/LARGE/gate_arms_H.jpg",5755,889,1,1,"12/12/16 13:16:37"
"D","f","18","007","D_List04.csv",39,"F","F","F","Het slagschip voer de zee op.","STI/Filler/240-pont_bridge.jpg",2384,888,0,NA,"12/12/16 13:16:37"
