File Name,E_Sentence_Filler,D_Sentence_Filler,C_Sentence_Filler
STI_EXP02/Filler/020-baignoire_bathtub.jpg,The cloth was in the wardrobe.,Het doek was in de kast.,衣服就放在衣櫥裡
STI_EXP02/Filler/025-barre_bar.jpg,The film was in the camera.,De film werd in de camera.,這卷底片就在相機中
STI_EXP02/Filler/027-batterie_drum-set.jpg,The capsule was on the table.,De capsule was op de tafel.,那顆膠囊放在桌子上
STI_EXP02/Filler/034-biberon_feeding-bottle.jpg,The sew was in the toolbox.,De SEW was in de gereedschapskist.,那隻鋸子放在工具箱中
STI_EXP02/Filler/035-bibliotheque_book-shelves.jpg,The hamburger was in the plate.,De hamburger was in de plaat.,漢堡就在托盤裡
STI_EXP02/Filler/041-bonbon_candy.jpg,The candle stood on the dinner table.,De kaars stond op de eettafel.,蠟燭立在餐桌上
STI_EXP02/Filler/071-bateau_boat.jpg,The cassette was in the recorder.,De cassette werd in de recorder.,錄音帶放在錄音機裡
STI_EXP02/Filler/075-carte_playing-card.jpg,The apple was on the table.,De appel was op de tafel.,蘋果就在桌子上
STI_EXP02/Filler/078-cassette_cassette.jpg,The earring was beside the box.,De oorbel was naast het vak.,耳環就在盒子旁邊
STI_EXP02/Filler/089-chronometre_stop-watch.jpg,The rice was in the farm.,De rijst was in de boerderij.,稻穗長在農田裡
STI_EXP02/Filler/093-chapiteau_big-top.jpg,The lifebuoy was on the deck.,De reddingsboei was op het dek.,救生圈被放在甲板上
STI_EXP02/Filler/156-hot-dog_hot-dog.jpg,The train was driving down the track.,De trein reed over de baan.,貨物列車在鐵路上行駛
STI_EXP02/Filler/166-klaxon_horn.jpg,The battleship was navigating in the sea.,Het slagschip werd het navigeren in de zee.,戰艦航行在大海
STI_EXP02/Filler/240-pont_bridge.jpg,The bed was in the room.,Het bed was in de kamer.,床舖就放在房間裡
STI_EXP02/Filler/260-sapin_fir-tree.jpg,The airplane was driving through the runway.,Het vliegtuig werd rijden door de baan.,飛機正滑行在跑道上
STI_EXP02/Filler/282-tractopelle_digger.jpg,The police car was driving down the road.,De politieauto reed op de weg.,那台警車行駛在馬路上
STI_EXP02/Filler/293-usine_factory.jpg,The raft was moving to the pier.,Het vlot is verhuizen naar de pier.,木筏正向碼頭移動
STI_EXP02/Filler/294-ventilateur_fan.jpg,The cow was living in the farm.,De koe woonde in de boerderij.,那隻牛生活在農場裡
STI_EXP02/Filler/airhockeytable.jpg,The church was beside the square.,De kerk was naast het plein.,教堂在廣場旁邊
STI_EXP02/Filler/barn.jpg,The cabin was in the forest.,De cabine was in het bos.,那間小屋位在森林裡
STI_EXP02/Filler/boxtrailer.jpg,The warship was sailing to the harbor.,Het oorlogsschip werd varen naar de haven.,那艘軍艦停靠在港口
STI_EXP02/Filler/briefcaseclosed.jpg,The electric locomotive was driving through the tunnel.,De elektrische locomotief reed door de tunnel.,那台電動機車行駛在隧道裡
STI_EXP02/Filler/candle08b.jpg,The coop was in the garden.,De coop was in de tuin.,那間雞舍在花園裡
STI_EXP02/Filler/castle.jpg,The tent was on the ground.,De tent was op de grond.,那件帳篷架在空地上
STI_EXP02/Filler/castletower.jpg,The SUV was running on the road.,De SUV liep op de weg.,那台休旅車在馬路上行駛
STI_EXP02/Filler/chair.jpg,The ambulance was running on the road.,De ambulance werd uitgevoerd op de weg.,那台雲梯車行駛在馬路上
STI_EXP02/Filler/church.jpg,The dryer was in the bathroom.,De droger was in de badkamer.,烘衣機放在浴室裡
STI_EXP02/Filler/cooler01.jpg,The truck was in the factory,De truck was in de fabriek,那台卡車停在工廠裡
STI_EXP02/Filler/cow.jpg,The hangar was beside the air plane.,De loods was naast het vliegtuig.,那間機庫緊靠著飛機場
STI_EXP02/Filler/dentalfloss03b.jpg,The table lamp was in the shop.,De tafel lamp was in de winkel.,那張雙人床就擺在店裡
STI_EXP02/Filler/desk02.jpg,The castle was on the hill.,Het kasteel was op de heuvel.,城堡就建在那座山上
STI_EXP02/Filler/dryingmachine02.jpg,The cargo ship was navigating to the harbor.,Het vrachtschip werd het navigeren naar de haven.,貨輪航行到港口
STI_EXP02/Filler/earring01.jpg,The motorcycle was in the parking lot.,De motorfiets was op de parkeerplaats.,那台摩托車就停在停車場裡
STI_EXP02/Filler/faucet.jpg,The ball was on the billiard table.,De bal was op de biljarttafel.,那顆球就在桌球桌上
STI_EXP02/Filler/ferry.jpg,The calculator was on the desk.,De calculator is op het bureau.,那台計算器放在桌子上
STI_EXP02/Filler/filmroll.jpg,The Swiss army knife was on the table.,De Zwitserse zakmes was op de tafel.,那支瑞士刀放在桌子上
STI_EXP02/Filler/flower.jpg,The alarm clock was on the bed.,De wekker was op het bed.,鬧鐘被放在床上
STI_EXP02/Filler/freighttruck.jpg,The flashlight was in the suitcase.,De zaklamp was het koffer.,這支手電筒放在手提箱中
STI_EXP02/Filler/fryingpan02a.jpg,The computer monitor was on the desk.,De computer monitor was op het bureau.,電腦顯示器放在書桌上
STI_EXP02/Filler/Generic_High_Speed_Train_01.jpg,The telephone was on the short table.,Het toestel was op de korte lijst.,電話設置在茶几上
STI_EXP02/Filler/hangar.jpg,The dartboard was on the wall.,Het dartbord was op de muur.,飛鏢盤被釘在牆上
STI_EXP02/Filler/ironbarrel.jpg,The giant refinery was beside the road.,De reus raffinaderij was naast de weg.,巨型煉油廠就在大馬路旁
STI_EXP02/Filler/kiwi03.jpg,The cup was on the kitchen table.,De beker was op de keukentafel.,杯子放在餐桌上
STI_EXP02/Filler/laptopopen.jpg,The shrimp was in the aquarium.,De garnalen was in het aquarium.,有隻蝦子在水族箱中
STI_EXP02/Filler/lighthouse.jpg,The tooth was in the iron dish.,De tand was de ijzeren schaal.,有顆牙齒在鐵盤之中
STI_EXP02/Filler/microwave.jpg,The Rubik's Cube was on the shelf.,De Rubik's Cube was op de plank.,魔術方塊就在架子上
STI_EXP02/Filler/pill.jpg,The balloon was in the kid's hand.,De ballon was in de kid's hand.,氣球在小孩子的手裡
STI_EXP02/Filler/pillow.jpg,The folder was on the shelf.,De map was op de plank.,文件夾就在書架上
STI_EXP02/Filler/ribbon04.jpg,The lamp was on the wall.,De lamp was op de muur.,那盞燈安裝在牆上
STI_EXP02/Filler/rubikcube.jpg,The basketball hoop was beside the field.,De basketbalring was naast het veld.,籃球架就設置在球場邊
STI_EXP02/Filler/sailboat.jpg,The book shelf was in the room.,De boekenplank in de kamer was.,書架放置在房間裡
STI_EXP02/Filler/scrubbingbrush05b.jpg,The fan was settled under the ceiling.,De ventilator werd geregeld onder het plafond.,電風扇被裝在天花板之下
STI_EXP02/Filler/solderingiron.jpg,The chair was in the office.,De stoel was in het kantoor.,辦公椅放在辦公室裡
STI_EXP02/Filler/spatula04.jpg,The printer was in the right of the table.,De printer is in de rechterbovenhoek van de tabel.,影印機在桌子旁邊
STI_EXP02/Filler/staple.jpg,The table tennis was in the room.,De tafeltennis was in de kamer.,乒乓球桌就在房間裡
STI_EXP02/Filler/strap.jpg,The dog house was beside the door.,De hond huis was naast de deur.,那間狗屋蓋在大門旁
STI_EXP02/Filler/submarine.jpg,The lighthouse was in the entrance of the harbor.,De vuurtoren was in de ingang van de haven.,那座燈塔位於港口的出入口
STI_EXP02/Filler/tv.jpg,The umbrella was on the beach.,De paraplu is op het strand.,雨傘被放在海灘上
STI_EXP02/Filler/umbrellaopen.jpg,The cabbage was in the shelf.,De kool was in het schap.,大白菜就放在貨架上
STI_EXP02/Filler/uprightpiano01.jpg,The hammer was on the desk table.,De hamer was op het bureau tafel.,錘子放在工作桌上
STI_EXP02/Filler/usbkey.jpg,The toy dinosaur stood on the table.,Het speelgoed dinosaurus stond op de tafel.,玩具恐龍站立在桌子上
STI_EXP02/Filler/weight01.jpg,The playing card was in the hand of the magician.,De speelkaart was in de hand van de tovenaar.,撲克牌在魔術師手中
STI_EXP02/Filler/wheel01.jpg,The stopping watch was in the hand of the coach.,Het stoppen horloge was in de hand van de coach.,碼錶就在教練手中
STI_EXP02/Filler/woodboard.jpg,The trash can was on the side way.,De prullenbak was aan de zijkant weg.,垃圾桶設在人行道上
