Size,Orien,Match,Probe,Target,correct_response,Task
L,V,N,De boot zeilde op zee.,STI/LARGE/boat_V.jpg,j,V
L,V,N,Het bureau was voor het raam geplaatst.,STI/LARGE/desk_V.jpg,j,V
L,V,N,De matras werd op het bed gelegd.,STI/LARGE/mattress_V.jpg,j,V
L,V,N,De kast was door twee mannen uit het kantoor verhuisd.,STI/LARGE/filingcabinet_V.jpg,j,V
L,V,N,De bank was in de woonkamer neergezet.,STI/LARGE/sofa_V.jpg,j,V
L,V,N,Het valluik was gesloten om de dozen veilig te verhuizen.,STI/LARGE/trapdoor_V.jpg,j,V
L,V,N,De kano gleed over de rivier.,STI/LARGE/canoe_V.jpg,j,V
L,V,N,Het anker lag op de bodem van de zee.,STI/LARGE/anchor_V.jpg,j,V
L,H,Y,De jeep reed op de weg.,STI/LARGE/jeep_H.jpg,j,V
L,H,Y,De ophaalbrug werd neergelaten over de gracht.,STI/LARGE/Drawbridge_H.jpg,j,V
L,H,Y,De bus reed op de weg.,STI/LARGE/bus_H.jpg,j,V
L,H,Y,Het raamkozijn werd in het plafond geplaatst.,STI/LARGE/windowframe_H.jpg,j,V
L,H,Y,De ladder werd gedragen door de brandweerman.,STI/LARGE/ladder_H.jpg,j,V
L,H,Y,De replica van het vrijheidsbeeld werd naar het park verplaatst.,STI/LARGE/liberty_H.jpg,j,V
L,H,Y,De space shuttle werd naar het museum vervoerd.,STI/LARGE/spaceshuttle_H.jpg,j,V
L,H,Y,De kraanarm was omlaag toen de kraanwagen stopte.,STI/LARGE/crane_H.jpg,j,V
L,H,N,De Titanic zonk naar de bodem.,STI/LARGE/Titanic_H.jpg,j,V
L,H,N,Het wijnvat stond in de wijnbar.,STI/LARGE/barrel_H.JPG,j,V
L,H,N,De parachute werd geopend door de parachutist.,STI/LARGE/Parachute_H.jpg,j,V
L,H,N,De raket werd gelanceerd vanaf de onderzeeër.,STI/LARGE/missle_H.jpg,j,V
L,H,N,De straaljager vloog omhoog door de wolken.,STI/LARGE/jetfighter_H.jpg,j,V
L,H,N,De verkoopautomaat stond op de hoek van de straat.,STI/LARGE/vending_H.jpg,j,V
L,H,N,De grote koelkast stond in de keuken.,STI/LARGE/refrigerator_H.jpg,j,V
L,H,N,De slagbomen werden opgeheven nadat de auto onderzocht was.,STI/LARGE/gate_arms_H.jpg,j,V
L,V,Y,Het vliegtuig daalde door de wolken.,STI/LARGE/aeroplane_V.jpg,j,V
L,V,Y,De piano werd het podium opgereden.,STI/LARGE/Uprightpiano_V.jpg,j,V
L,V,Y,De raket werd gelanceerd naar de ruimte.,STI/LARGE/rocket_V.jpg,j,V
L,V,Y,De metalen sloopkogel sloeg tegen de muur.,STI/LARGE/wreckingball_V.jpg,j,V
L,V,Y,De straatlantaarn stond langs de weg.,STI/LARGE/streetlantern_V.jpg,j,V
L,V,Y,Het stalen vat stond in de fabriek.,STI/LARGE/steelbarrel_V.jpg,j,V
L,V,Y,Het varkenskarkas hing in de vrieshal.,STI/LARGE/pig_V.jpg,j,V
L,V,Y,De vrachtwagen loste het zand.,STI/LARGE/dump-truck_V.jpg,j,V
S,V,N,De lucifer werd in het doosje gelegd.,STI/SMALL/007-allumette_match_r.jpg,j,V
S,V,N,De stok lag in de buurt van de bank in het park.,STI/SMALL/066-canne_cane_r.jpg,j,V
S,V,N,De reageerbuis lag op de werktafel.,STI/SMALL/126-eprouvette_test-tube_r.jpg,j,V
S,V,N,De bloempot lag voor de deur.,STI/SMALL/242-pot_jar_r.jpg,j,V
S,V,N,De bowlingkegel werd omgegooid aan het einde van de baan.,STI/SMALL/248-quille_skittle_r.jpg,j,V
S,V,N,De sleutelbos lag op de salontafel.,STI/SMALL/keychain_r.jpg,j,V
S,V,N,De boomtak viel van de boom.,STI/SMALL/branch02_r.jpg,j,V
S,V,N,De zuurstok lag in de snoepdoos.,STI/SMALL/candycane01a_r.jpg,j,V
S,H,Y,De wortel lag op de lopende band.,STI/SMALL/carrot01.jpg,j,V
S,H,Y,De prei werd op het aanrecht gelegd.,STI/SMALL/leek.jpg,j,V
S,H,Y,Het madeliefje was op de vloer van de bloemenwinkel gevallen.,STI/SMALL/daisy.jpg,j,V
S,H,Y,Het stofblik werd achtergelaten op de garagevloer.,STI/SMALL/dustpan.jpg,j,V
S,H,Y,De hengel werd vastgehouden door de visser.,STI/SMALL/fishingrod.jpg,j,V
S,H,Y,De lepel werd boven het bord geplaatst.,STI/SMALL/spoon_H.jpg,j,V
S,H,Y,De trechter lag naast de kommen.,STI/SMALL/funnel.jpg,j,V
